enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,candidate_id,profession,shift_duration,weekend_shift,night_shift,hourly_rate,travel_distance,difficulty_score,fill_probability,filled
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,36,1.0,8949,Healthcare Assistant,8,No,No,33,13,45,0.6713474534827301,1
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0.0,29725,Support Worker,8,Yes,No,33,27,58,0.24179617240741008,0
11561,city_21,0.624,Unknown,No relevent experience,Full time course,Graduate,STEM,5,Unknown,Unknown,never,83,0.0,11561,Physiotherapist,8,Yes,No,37,37,58,0.24179617240741008,0
33241,city_115,0.789,Unknown,No relevent experience,Unknown,Graduate,Business Degree,<1,Unknown,Pvt Ltd,never,52,1.0,33241,Support Worker,8,No,No,30,8,45,0.6713474534827301,1
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0.0,666,Support Worker,8,No,No,22,2,48,0.5709465968834663,1
21651,city_176,0.764,Unknown,Has relevent experience,Part time course,Graduate,STEM,11,Unknown,Unknown,1,24,1.0,21651,Care Assistant,8,No,No,19,42,58,0.24179617240741008,1
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,Unknown,5,50-99,Funded Startup,1,24,0.0,28806,Physiotherapist,12,Yes,No,36,4,51,0.46434632916602836,1
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0,402,Physiotherapist,12,No,No,22,10,50,0.5,0
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0,27107,Physiotherapist,8,Yes,No,18,14,62,0.15260866484263105,0
699,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0.0,699,Support Worker,8,No,No,18,25,55,0.32865254651727005,0
29452,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,2,Unknown,Unknown,never,32,1.0,29452,Healthcare Assistant,12,Yes,Yes,33,41,76,0.023792942398164606,1
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0,23853,Physiotherapist,8,No,No,34,14,44,0.7020633698789296,0
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0.0,25619,Occupational Therapist,8,Yes,No,24,10,59,0.21657909576817594,0
5826,city_21,0.624,Male,No relevent experience,Unknown,Unknown,Unknown,2,Unknown,Unknown,never,24,0.0,5826,Support Worker,12,No,No,27,8,47,0.6055324872205857,1
8722,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,5,Unknown,Unknown,never,26,0.0,8722,Care Assistant,8,Yes,No,21,6,60,0.1933213698023087,1
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,0.0,6588,Healthcare Assistant,8,No,No,21,5,50,0.5,1
4167,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0.0,4167,Occupational Therapist,8,No,No,30,21,48,0.5709465968834663,1
5764,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0.0,5764,Occupational Therapist,8,Yes,No,30,49,63,0.13503642292280238,0
2156,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1.0,2156,Care Assistant,12,No,No,20,23,53,0.3944675127794143,0
11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,Unknown,Unknown,1,132,1.0,11399,Healthcare Assistant,8,No,No,28,37,52,0.42905340311653367,1
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0.0,31972,Support Worker,12,No,Yes,35,19,60,0.1933213698023087,0
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0.0,19061,Registered Nurse,8,Yes,No,37,49,60,0.1933213698023087,1
